,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ushuaia,40,AR,1580592886,71,-54.8,-68.3,53.6,28.86
1,at-bashi,42,KG,1580592889,46,41.17,75.81,-1.52,10.71
2,dikson,51,RU,1580592890,97,73.51,80.55,-14.55,12.93
3,rikitea,100,PF,1580592891,78,-23.12,-134.97,79.65,12.75
4,tazovskiy,65,RU,1580592893,96,67.47,78.7,-18.85,13.69
5,moron,0,AR,1580592894,23,-34.65,-58.62,89.01,6.93
6,hithadhoo,100,MV,1580592896,69,-0.6,73.08,82.67,11.25
7,ponnani,20,IN,1580592897,78,10.77,75.93,77.0,2.24
8,albany,90,US,1580592601,64,42.6,-73.97,39.2,2.64
9,juba,94,SS,1580592900,18,4.85,31.58,81.72,4.25
10,kununurra,90,AU,1580592902,74,-15.77,128.73,84.2,6.93
11,hermanus,63,ZA,1580592904,81,-34.42,19.23,71.01,7.0
12,baruun-urt,100,MN,1580592905,69,46.68,113.28,-11.4,4.18
13,lichtenburg,62,ZA,1580592906,44,-26.15,26.16,70.63,5.32
14,severo-kurilsk,0,RU,1580592907,74,50.68,156.12,12.6,13.29
15,aklavik,20,CA,1580592909,55,68.22,-135.01,-20.2,4.7
16,bluff,100,NZ,1580592910,92,-46.6,168.33,57.99,8.01
17,victoria,20,HK,1580592679,77,22.29,114.16,62.6,14.99
18,clearlake,1,US,1580592711,55,38.96,-122.63,69.01,3.33
19,bengkulu,100,ID,1580592914,93,-3.8,102.27,73.29,4.12
20,thompson,90,CA,1580592916,85,55.74,-97.86,12.2,6.93
21,caravelas,0,BR,1580592917,83,-17.71,-39.25,80.33,18.34
22,vanimo,94,PG,1580592918,76,-2.67,141.3,81.03,11.16
23,itoman,20,JP,1580592919,62,26.12,127.67,55.4,3.36
24,silvia,94,CO,1580592921,88,2.61,-76.38,64.08,2.75
25,kristianstad,80,SE,1580592922,87,56.03,14.15,44.6,14.99
26,busselton,0,AU,1580592923,53,-33.65,115.33,57.99,13.2
27,misratah,96,LY,1580592924,65,32.38,15.09,64.04,5.93
28,iqaluit,90,CA,1580592925,78,63.75,-68.51,10.4,11.41
29,kapaa,75,US,1580592798,88,22.08,-159.32,78.8,19.46
30,okha,0,RU,1580592927,99,53.57,142.95,-9.29,4.07
31,nikolskoye,90,RU,1580592929,97,59.7,30.79,32.0,11.18
32,nanortalik,22,GL,1580592930,64,60.14,-45.24,17.11,18.43
33,pevek,100,RU,1580592932,98,69.7,170.31,-22.59,6.96
34,shimoda,100,JP,1580592933,78,34.67,138.95,39.0,1.01
35,chokurdakh,100,RU,1580592934,98,70.63,147.92,-16.71,6.15
36,fjerritslev,100,DK,1580592936,91,57.08,9.27,45.0,21.99
37,riyadh,12,SA,1580592870,34,24.69,46.72,53.6,5.82
38,mataura,100,NZ,1580592939,92,-46.19,168.86,57.99,8.01
39,dalvik,97,IS,1580592940,92,65.97,-18.53,14.0,3.36
40,barrow,1,US,1580592942,95,71.29,-156.79,-29.2,8.05
41,tokmak,0,UA,1580592944,85,47.25,35.71,36.09,5.95
42,yellowknife,40,CA,1580592945,76,62.46,-114.35,-7.01,8.05
43,esperance,90,AU,1580592946,67,-33.87,121.9,62.6,4.7
44,hasaki,20,JP,1580592947,86,35.73,140.83,33.01,1.12
45,flinders,75,AU,1580592950,83,-34.58,150.86,81.0,9.17
46,oranjemund,53,NA,1580592953,90,-28.55,16.43,63.21,9.26
47,kysyl-syr,93,RU,1580592954,98,63.9,122.76,-25.11,2.89
48,meulaboh,98,ID,1580592956,77,4.14,96.13,82.0,6.06
49,qaanaaq,99,GL,1580592960,92,77.48,-69.36,-24.25,5.08
50,kaitangata,100,NZ,1580592962,97,-46.28,169.85,56.01,14.07
51,kapoeta,17,SS,1580592963,20,4.77,33.59,85.26,3.58
52,antofagasta,20,CL,1580592827,68,-23.65,-70.4,72.0,17.22
53,hobyo,100,SO,1580592966,73,5.35,48.53,75.61,17.49
54,mangan,89,IN,1580592967,70,27.52,88.53,28.62,7.83
55,concarneau,90,FR,1580592971,100,47.88,-3.92,54.0,6.93
56,yaan,0,NG,1580592972,12,7.38,8.57,78.82,6.42
57,erenhot,100,CN,1580592973,93,43.65,111.98,10.17,8.88
58,skjeberg,100,NO,1580592975,93,59.23,11.2,42.8,10.29
59,kaabong,10,UG,1580592977,74,3.48,34.15,66.4,0.96
60,bredasdorp,67,ZA,1580592844,78,-34.53,20.04,71.6,14.99
61,qaqortoq,0,GL,1580592982,45,60.72,-46.03,1.4,4.7
62,krasnoselkup,11,RU,1580592983,96,65.7,82.47,-24.7,11.23
63,jamestown,75,US,1580592984,79,42.1,-79.24,34.0,3.36
64,vaini,20,TO,1580592987,69,-21.2,-175.2,82.4,11.41
65,ojinaga,1,MX,1580592989,17,29.57,-104.42,64.0,3.36
66,nokaneng,0,BW,1580592990,66,-19.67,22.27,72.91,4.88
67,cururupu,97,BR,1580592991,85,-1.83,-44.87,78.12,3.4
68,monterey,1,US,1580592993,37,36.25,-121.25,73.0,0.56
69,isangel,100,VU,1580592994,70,-19.55,169.27,84.2,6.93
70,urengoy,95,RU,1580592996,95,65.97,78.37,-18.15,15.9
71,marawi,100,PH,1580592997,89,8.0,124.29,75.99,1.99
72,vila,90,PT,1580592998,100,42.03,-8.16,60.01,9.17
73,saint-pierre,0,RE,1580592999,83,-21.34,55.48,78.8,5.82
74,sayat,69,TM,1580593002,30,38.78,63.88,53.6,16.11
75,lianran,0,CN,1580593003,93,24.92,102.48,41.0,8.95
76,portland,90,US,1580592780,76,45.52,-122.68,52.0,8.05
77,sumbe,74,AO,1580593007,82,-11.21,13.84,78.06,3.24
78,vestmannaeyjar,0,IS,1580593009,69,63.44,-20.27,30.7,6.35
79,mamakan,98,RU,1580593010,100,57.82,114.0,-28.46,0.56
80,hobart,20,AU,1580593012,51,-42.88,147.33,61.0,8.05
81,tasiilaq,100,GL,1580593014,79,65.61,-37.64,21.2,24.16
82,breytovo,100,RU,1580593015,89,58.3,37.86,28.51,17.2
83,zima,97,RU,1580593016,99,53.92,102.04,-6.47,1.07
84,kargasok,100,RU,1580593017,94,59.06,80.86,3.7,9.66
85,arlit,0,NE,1580593018,13,18.74,7.39,70.63,9.55
86,maloy,73,NO,1580593023,93,61.94,5.11,37.99,3.36
87,awbari,0,LY,1580593024,25,26.59,12.78,62.35,8.93
88,mbinga,40,TZ,1580593025,83,-10.93,35.02,71.6,11.41
89,kodiak,1,US,1580593026,41,57.79,-152.41,23.0,25.28
90,dingle,76,PH,1580593027,92,11.0,122.67,68.97,9.1
91,conway,1,US,1580592845,33,35.09,-92.44,59.0,10.29
92,papara,55,BR,1580593030,74,-3.98,-38.73,82.4,8.05
93,makhinjauri,90,GE,1580593031,54,41.67,41.69,41.0,20.8
94,faya,41,SA,1580593033,87,18.39,42.45,53.6,4.94
95,vostok,100,RU,1580593034,97,46.49,135.88,-1.03,4.34
96,torbay,40,CA,1580592913,78,47.67,-52.73,17.01,4.7
97,provideniya,92,RU,1580593036,93,64.38,-173.3,-17.41,11.01
98,saldanha,48,ZA,1580593037,82,-33.01,17.94,64.4,8.05
99,metlaltoyuca,90,MX,1580593040,100,20.73,-97.85,60.8,11.41
100,shaunavon,98,CA,1580593041,63,49.65,-108.42,43.99,36.28
101,mahebourg,40,MU,1580593042,83,-20.41,57.7,79.0,6.93
102,butaritari,100,KI,1580593043,77,3.07,172.79,84.38,17.52
103,eureka,90,US,1580592747,87,40.8,-124.16,57.0,3.02
104,atuona,0,PF,1580593050,75,-9.8,-139.03,81.57,18.92
105,sorland,90,NO,1580593053,85,67.67,12.69,33.8,9.17
106,fortuna,75,US,1580593054,93,40.6,-124.16,57.0,4.7
107,neyshabur,100,IR,1580593055,54,36.21,58.8,41.47,13.94
108,port-gentil,20,GA,1580593057,94,-0.72,8.78,82.4,12.97
109,georgetown,40,MY,1580592798,83,5.41,100.34,80.6,4.52
110,mezen,25,RU,1580593060,98,65.85,44.24,-22.04,6.53
111,suzhou,100,CN,1580593030,80,31.31,120.62,46.99,2.24
112,tuatapere,100,NZ,1580593064,92,-46.13,167.68,57.99,8.01
113,pudozh,100,RU,1580593069,96,61.81,36.53,11.26,6.6
114,leningradskiy,99,RU,1580593070,92,69.38,178.42,-19.08,4.52
115,axim,39,GH,1580593075,83,4.87,-2.24,79.07,3.56
116,hamilton,90,US,1580593076,75,39.18,-84.53,42.01,6.93
117,jinji,55,CN,1580593077,74,23.23,110.83,53.08,2.8
118,kroya,94,ID,1580593078,90,-7.63,109.25,74.68,1.5
119,bethanien,67,NA,1580593081,26,-26.5,17.16,80.56,11.01
120,tual,75,ID,1580593082,76,-5.67,132.75,83.84,13.71
121,havre-saint-pierre,90,CA,1580593083,78,50.23,-63.6,17.6,6.93
122,udachnyy,98,RU,1580593084,66,66.42,112.4,-32.8,4.47
123,menongue,100,AO,1580593085,95,-14.66,17.69,62.96,3.44
124,harper,32,LR,1580593087,92,4.38,-7.72,77.23,4.88
125,poum,100,NC,1580593090,81,-20.23,164.02,81.05,22.68
126,plouzane,90,FR,1580593091,100,48.38,-4.62,53.6,16.11
127,muravlenko,100,RU,1580593092,97,63.79,74.52,-4.67,23.42
128,isiro,97,CD,1580593093,36,2.77,27.62,75.04,2.37
129,toba,75,JP,1580593095,69,34.48,136.85,39.99,10.29
130,maneadero,0,MX,1580593096,53,31.72,-116.57,71.01,1.99
131,margate,33,GB,1580593099,70,51.38,1.39,46.99,17.22
132,usvyaty,100,RU,1580593101,95,55.75,30.75,37.31,9.28
133,solnechnyy,100,RU,1580593102,98,50.72,136.63,-9.74,1.92
134,chor,0,PK,1580593103,21,25.52,69.77,60.91,8.66
135,myitkyina,12,MM,1580593104,81,25.38,97.4,54.12,3.49
136,faanui,88,PF,1580593105,79,-16.48,-151.75,82.22,26.62
137,tiksi,0,RU,1580593106,84,71.69,128.87,-25.62,5.14
138,plast,100,RU,1580593107,94,54.37,60.81,17.22,8.66
139,bagaha,0,IN,1580593109,70,27.1,84.08,51.01,7.09
140,flagstaff,1,US,1580593110,28,35.2,-111.65,64.99,13.87
141,cajati,75,BR,1580593113,89,-24.74,-48.12,77.68,4.94
142,hilo,90,US,1580593115,61,19.73,-155.09,77.0,5.82
143,temecula,1,US,1580592905,15,33.49,-117.15,84.99,4.7
144,sinnamary,18,GF,1580593117,74,5.38,-52.95,79.14,14.99
145,kruisfontein,100,ZA,1580593118,86,-34.0,24.73,70.84,9.84
146,palmer,90,US,1580593119,100,42.16,-72.33,39.2,1.12
147,college,1,US,1580593121,73,64.86,-147.8,-11.0,1.79
148,mattru,0,SL,1580593122,84,7.62,-11.83,77.9,4.38
149,fairbanks,1,US,1580593123,73,64.84,-147.72,-11.0,2.01
150,cabedelo,20,BR,1580593124,83,-6.98,-34.83,80.6,6.93
151,lompoc,1,US,1580593125,38,34.64,-120.46,82.0,9.01
152,saint-joseph,0,RE,1580593126,83,-21.37,55.62,78.8,5.82
153,pisco,75,PE,1580593127,30,-13.7,-76.22,73.0,24.16
154,bitkine,40,TD,1580593129,15,11.98,18.21,68.09,8.52
155,tavricheskoye,75,RU,1580593130,70,54.59,73.64,1.4,6.71
156,santiago,0,CL,1580593133,25,-33.46,-70.65,90.0,6.93
157,rajmahal,0,IN,1580593134,52,25.05,87.83,57.07,8.05
158,juneau,90,US,1580593052,86,58.3,-134.42,32.0,3.36
159,seoul,1,KR,1580593092,100,37.57,126.98,30.2,2.24
160,omboue,100,GA,1580593138,87,-1.57,9.26,78.1,1.95
161,brusque,40,BR,1580593140,78,-27.1,-48.92,82.0,16.11
162,goderich,100,CA,1580593014,89,43.75,-81.72,32.0,7.0
163,khandyga,41,RU,1580593143,97,62.67,135.6,-26.86,2.8
164,pundaguitan,100,PH,1580593145,83,6.37,126.17,79.03,10.83
165,sovetskiy,97,RU,1580593146,98,61.36,63.58,-3.42,2.35
166,hays,1,US,1580593149,17,30.05,-98.03,73.4,6.93
167,beidao,99,CN,1580593150,89,34.57,105.89,29.12,0.31
168,ostrovnoy,0,RU,1580593151,99,68.05,39.51,-10.8,12.55
169,sompeta,1,IN,1580593153,89,18.93,84.6,66.38,3.36
170,ahipara,49,NZ,1580593154,79,-35.17,173.17,82.99,1.01
171,castro,21,BR,1580593155,94,-24.79,-50.01,74.16,1.52
172,atar,0,MR,1580593156,11,20.52,-13.05,70.52,10.33
173,ushtobe,100,KZ,1580593160,60,45.25,77.98,22.26,1.45
174,kermanshah,40,IR,1580593161,73,34.31,47.06,32.0,6.93
175,coihaique,75,CL,1580593162,87,-45.58,-72.07,51.8,3.36
176,pangkalanbuun,100,ID,1580593034,95,-2.68,111.62,75.63,1.74
177,virden,90,US,1580593164,85,39.5,-89.77,42.01,13.87
178,vardo,100,NO,1580593169,92,70.37,31.11,18.28,24.14
179,laguna,1,US,1580593170,77,38.42,-121.42,69.01,4.7
180,de-kastri,0,RU,1580593171,85,51.47,140.78,-0.9,4.85
181,kristiansund,100,NO,1580593172,88,63.11,7.73,39.2,25.28
182,paamiut,4,GL,1580593176,53,61.99,-49.67,14.05,7.58
183,khatanga,55,RU,1580593178,96,71.97,102.5,-29.36,10.8
184,damietta,40,EG,1580593180,82,31.42,31.81,59.0,9.17
185,saint-augustin,100,CA,1580593181,78,51.23,-58.65,14.09,9.55
186,avarua,15,CK,1580593182,74,-21.21,-159.78,82.4,6.93
187,clarksburg,90,US,1580593169,86,39.28,-80.34,39.2,5.82
188,saint-raymond,90,CA,1580593188,73,45.47,-73.61,28.99,4.7
189,bethel,90,US,1580593190,86,41.37,-73.41,42.01,3.36
190,iguape,35,BR,1580593193,74,-24.71,-47.56,80.44,6.35
191,bud,90,US,1580593194,69,39.45,-86.18,42.01,23.04
192,kavieng,13,PG,1580593195,75,-2.57,150.8,83.53,15.73
193,kashan,100,IR,1580593196,42,33.98,51.44,42.73,1.63
194,kidal,0,ML,1580593145,11,18.44,1.41,71.82,8.97
195,kushalnagar,8,IN,1580593199,80,12.46,75.96,64.51,4.81
196,yulara,30,AU,1580593200,53,-25.24,130.99,71.6,10.29
197,havelock,90,US,1580593093,87,34.88,-76.9,48.99,8.05
198,hambantota,100,LK,1580593202,77,6.12,81.12,77.4,19.46
199,labuhan,100,ID,1580593203,92,-6.88,112.21,74.68,3.04
200,vangaindrano,36,MG,1580593204,91,-23.35,47.6,72.59,1.12
201,itarema,0,BR,1580593206,79,-2.92,-39.92,77.81,5.14
202,barcelos,75,PT,1580593207,100,41.54,-8.62,61.0,11.41
203,carnarvon,0,AU,1580593137,78,-24.87,113.63,75.2,11.41
204,lavrentiya,100,RU,1580593209,86,65.58,-171.0,-14.75,10.38
205,illela,1,NG,1580593210,14,13.73,5.3,70.02,9.91
206,montepuez,100,MZ,1580593212,97,-13.13,39.0,71.13,4.18
207,tambura,1,SS,1580593213,24,5.6,27.47,70.0,1.63
208,lebu,93,CL,1580593214,80,-37.62,-73.65,65.89,6.98
209,singkawang,68,ID,1580593215,91,0.9,109.0,75.6,7.87
210,bairiki,75,KI,1580593216,74,1.33,172.98,86.0,9.17
211,yeniseysk,44,RU,1580593219,98,58.45,92.17,-25.01,2.98
212,tiznit,0,MA,1580593220,28,29.58,-9.5,63.39,4.05
213,westport,90,US,1580593189,86,41.14,-73.36,43.0,3.36
214,marystown,96,CA,1580593222,71,47.17,-55.15,23.63,7.83
215,lagoa,100,PT,1580593224,67,39.05,-27.98,60.01,16.53
216,necochea,76,AR,1580593225,44,-38.55,-58.74,90.0,11.01
217,camopi,39,GF,1580593226,63,3.17,-52.32,80.96,4.25
218,beaverlodge,20,CA,1580593227,59,55.22,-119.44,33.8,25.28
219,komsomolskiy,89,UZ,1580593228,74,40.43,71.72,32.0,9.17
220,opotiki,67,NZ,1580593229,57,-38.08,177.28,77.0,5.01
221,changping,90,CN,1580593231,100,40.22,116.22,30.99,4.47
222,chegdomyn,94,RU,1580593232,96,51.12,133.02,-13.07,1.05
223,luau,100,AO,1580593233,96,-10.71,22.22,67.48,3.96
224,banjar,20,ID,1580593234,100,-8.19,114.97,77.0,4.7
225,cidreira,0,BR,1580593235,73,-30.18,-50.21,75.04,12.33
226,samarkand,100,UZ,1580593236,42,39.65,66.96,44.6,11.41
227,yarada,23,IN,1580593237,81,17.65,83.27,75.88,10.18
228,xining,100,CN,1580593239,95,36.62,101.77,13.14,0.98
