,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
229,chuy,0,UY,1580593240,61,-33.7,-53.46,76.66,13.27
230,acapulco,75,MX,1580593244,58,16.86,-99.89,86.0,5.82
231,saskylakh,6,RU,1580593247,94,71.92,114.08,-29.2,5.37
232,ballina,2,AU,1580593249,73,-28.87,153.57,78.8,6.93
233,beringovskiy,14,RU,1580593251,91,63.05,179.32,-24.65,18.05
234,zaraza,40,VE,1580593255,42,9.35,-65.32,91.44,10.85
235,dhidhdhoo,4,MV,1580593257,70,6.88,73.1,81.43,11.34
236,aleksandrovsk-sakhalinskiy,100,RU,1580593258,98,50.9,142.16,0.57,0.65
237,vallenar,0,CL,1580593166,52,-28.57,-70.76,74.39,10.42
238,longyearbyen,75,SJ,1580593260,92,78.22,15.64,15.8,11.41
239,kisangani,59,CD,1580593263,74,0.52,25.2,75.07,3.11
240,joutseno,90,FI,1580593264,100,61.12,28.51,28.99,8.05
241,hami,0,CN,1580593265,55,42.8,93.45,11.84,0.27
242,kochi,20,IN,1580593266,88,9.94,76.26,77.0,5.82
243,remanso,53,BR,1580593267,57,-9.62,-42.08,81.79,3.44
244,lanxi,88,CN,1580593270,29,29.22,119.48,44.01,2.98
245,orlovskiy,100,RU,1580593272,92,46.87,42.06,38.7,17.29
246,kailua,90,US,1580593273,73,21.4,-157.74,80.6,11.41
247,nizwa,1,OM,1580593276,41,22.93,57.53,58.42,1.45
248,tupik,100,RU,1580593277,97,54.43,119.93,-8.45,3.76
249,touros,40,BR,1580593278,78,-5.2,-35.46,82.4,9.17
250,olafsvik,44,IS,1580593279,82,64.89,-23.71,29.88,9.35
251,souillac,40,MU,1580593282,83,-20.52,57.52,79.0,6.93
252,morwell,100,AU,1580593283,96,-38.23,146.4,57.0,3.0
253,dessau,75,DE,1580593285,66,51.84,12.25,50.0,16.11
254,lerwick,69,GB,1580593286,65,60.15,-1.15,41.0,20.8
255,nome,90,US,1580593287,77,64.5,-165.41,-0.4,19.46
256,sabha,0,LY,1580593288,25,27.04,14.43,63.95,8.95
257,mayma,90,RU,1580593290,76,52.02,85.91,10.18,4.05
258,peterhead,41,GB,1580593291,80,57.51,-1.8,42.01,5.82
259,yerbogachen,0,RU,1580593293,97,61.28,108.01,-35.23,2.71
260,pangody,100,RU,1580593294,90,65.85,74.49,-9.51,21.81
261,nantucket,90,US,1580593296,80,41.28,-70.1,41.0,11.41
262,olawa,20,PL,1580593297,93,50.95,17.29,51.01,12.75
263,landau,90,DE,1580593298,100,49.21,8.11,55.0,21.92
264,biak,100,ID,1580593299,74,-0.91,122.88,81.27,7.83
265,tuktoyaktuk,90,CA,1580593302,68,69.45,-133.04,-18.4,12.75
266,sola,75,VU,1580593303,83,-13.88,167.55,84.2,16.4
267,tsabong,0,BW,1580593304,20,-26.02,22.4,82.72,6.35
268,roald,40,NO,1580593305,80,62.58,6.13,39.2,10.29
269,nuuk,75,GL,1580593306,72,64.18,-51.72,14.0,9.17
270,ouesso,11,CG,1580593307,54,1.61,16.05,77.23,1.97
271,xuddur,100,SO,1580593310,35,4.12,43.89,79.23,11.05
272,sile,0,TR,1580593311,76,41.18,29.61,53.01,2.24
273,verkhnevilyuysk,100,RU,1580593313,98,63.45,120.32,-25.44,3.76
274,turukhansk,0,RU,1580593315,91,65.82,87.98,-29.27,4.38
275,lata,68,PT,1580593316,94,40.16,-8.33,60.01,3.71
276,sumenep,100,ID,1580593318,80,-7.02,113.87,79.74,5.53
277,kapit,100,MY,1580593320,98,2.02,112.93,71.17,0.78
278,pangnirtung,100,CA,1580593323,98,66.15,-65.71,-4.27,1.92
279,cherskiy,100,RU,1580593324,98,68.75,161.3,-32.76,4.16
280,ferme-neuve,100,CA,1580593325,86,46.7,-75.45,27.32,5.7
281,camacha,0,PT,1580593327,93,33.08,-16.33,66.2,6.93
282,bushehr,0,IR,1580593328,79,28.97,50.84,59.79,1.07
283,laurel,90,US,1580593330,65,39.1,-76.85,51.01,3.53
284,otane,1,NZ,1580593331,58,-39.88,176.63,73.0,5.99
285,upernavik,100,GL,1580593332,96,72.79,-56.15,-23.4,10.74
286,payo,100,ID,1580593333,98,-3.75,103.64,68.11,1.41
287,manaure,20,CO,1580593334,49,11.78,-72.44,93.2,12.75
288,qinhuangdao,100,CN,1580593335,77,39.93,119.59,24.57,2.73
289,saint-philippe,4,RE,1580593338,78,-21.36,55.77,78.8,3.36
290,ayan,100,RU,1580593339,78,56.45,138.17,1.49,2.21
291,sindor,57,RU,1580593340,99,62.86,51.89,-16.67,4.32
292,bereda,40,ES,1580593341,87,43.27,-7.54,64.0,16.11
293,maceio,20,BR,1580593343,83,-9.67,-35.74,80.6,11.41
294,tabas,75,IR,1580593344,32,33.6,56.92,55.4,6.93
295,kiruna,100,SE,1580593345,85,67.86,20.23,14.0,3.36
296,barra,6,BR,1580593346,62,-11.09,-43.14,82.94,2.8
297,borovoy,95,RU,1580593347,84,55.43,86.08,1.4,4.47
298,tutoia,59,BR,1580593348,85,-2.76,-42.27,77.58,5.53
299,arman,0,RU,1580593350,79,59.7,150.17,-2.0,8.23
300,lingyuan,100,CN,1580593354,60,41.24,119.4,18.84,1.61
301,acarau,0,BR,1580593222,79,-2.89,-40.12,77.81,5.14
302,cortez,1,US,1580593357,42,37.35,-108.59,50.0,4.61
303,zhanakorgan,100,KZ,1580593358,46,43.91,67.25,41.02,10.11
304,tumaco,81,CO,1580593253,83,1.8,-78.82,80.67,17.47
305,malakal,86,SS,1580593361,15,9.53,31.66,75.52,7.07
306,yeppoon,7,AU,1580593362,74,-23.13,150.73,78.8,9.17
307,gitarama,40,RW,1580593363,100,-2.07,29.76,60.8,3.36
308,luderitz,51,NA,1580593364,88,-26.65,15.16,63.72,24.49
309,singaraja,66,ID,1580593365,74,-8.11,115.09,82.49,3.09
310,mehamn,100,NO,1580593366,97,71.04,27.85,10.67,20.36
311,biswan,0,IN,1580593367,70,27.5,81.0,50.16,7.61
312,pemangkat,68,ID,1580593320,91,1.17,108.97,75.6,7.87
313,kosh-agach,87,RU,1580593370,74,50.0,88.67,-18.22,1.81
314,shafranovo,99,RU,1580593371,95,53.97,54.77,18.93,4.34
315,jince,100,CZ,1580593372,81,49.79,13.98,51.01,14.99
316,husavik,96,IS,1580593373,92,66.04,-17.34,14.0,3.36
317,chapleau,90,CA,1580593374,86,47.84,-83.4,30.2,10.29
318,santona,69,ES,1580593376,100,43.44,-3.46,57.99,4.07
319,koran,40,BA,1580593377,87,43.81,18.57,42.8,5.82
320,urrutia,1,HN,1580593378,39,14.74,-87.04,84.4,10.94
321,lingao,62,CN,1580593379,87,19.91,109.69,66.7,12.71
322,lekoni,53,GA,1580593380,57,-1.58,14.26,81.23,3.98
323,gouyave,20,GD,1580593383,78,12.16,-61.73,82.4,16.11
324,narsaq,0,GL,1580593385,45,60.92,-46.05,1.4,4.7
325,thinadhoo,100,MV,1580593387,72,0.53,72.93,82.36,11.92
326,borgarnes,5,IS,1580593388,79,64.54,-21.92,23.0,2.24
327,taltal,0,CL,1580593391,65,-25.4,-70.48,69.08,7.29
328,tiarei,75,PF,1580593392,94,-17.53,-149.33,77.0,25.28
329,bandarbeyla,100,SO,1580593393,73,9.49,50.81,75.65,17.52
330,ust-maya,100,RU,1580593394,95,60.42,134.53,-16.2,4.05
331,tilichiki,1,RU,1580593395,86,60.47,166.1,-24.43,9.82
332,nehe,0,CN,1580593396,86,48.48,124.83,-4.85,8.37
333,narasannapeta,30,IN,1580593205,92,18.42,84.05,67.28,4.92
334,kaduy,100,RU,1580593399,91,59.2,37.15,28.36,9.35
335,valparaiso,11,CL,1580593401,60,-33.04,-71.63,71.6,11.41
336,launceston,3,AU,1580593402,71,-41.45,147.17,57.99,13.87
337,koungou,43,YT,1580593404,94,-12.73,45.2,78.8,4.7
338,guantanamo,20,CU,1580593405,74,20.14,-75.21,82.4,8.05
339,kamaishi,0,JP,1580593407,78,39.27,141.88,29.93,5.44
340,noyabrsk,100,RU,1580593408,96,63.2,75.45,-1.52,22.48
341,sitka,90,US,1580593337,80,57.05,-135.33,32.0,10.29
342,rawson,19,AR,1580593229,38,-43.3,-65.1,77.36,16.71
343,bluefield,90,US,1580593415,87,37.27,-81.22,44.6,7.31
344,nazarovo,100,RU,1580593416,97,56.01,90.39,-1.52,4.32
345,ormara,0,PK,1580593358,39,25.21,64.64,71.19,2.77
346,bluffton,90,US,1580593397,93,32.24,-80.86,48.99,8.05
347,avera,75,US,1580593421,81,33.19,-82.53,52.0,6.93
348,evensk,22,RU,1580593422,71,61.95,159.23,-16.19,13.76
349,ulladulla,75,AU,1580593423,83,-35.35,150.47,75.0,9.17
350,bilibino,17,RU,1580593426,100,68.05,166.44,-40.2,1.5
351,codrington,75,AU,1580593427,76,-38.27,141.97,62.13,26.02
352,dharchula,0,IN,1580593428,35,29.85,80.53,18.46,14.45
353,kilcullen,75,IE,1580593429,93,53.13,-6.74,45.0,9.17
354,villazon,82,BO,1580593432,33,-22.09,-65.59,68.14,15.7
355,luanda,40,AO,1580593433,83,-8.84,13.23,82.4,5.82
356,hunsur,33,IN,1580593434,80,12.31,76.29,66.49,7.07
357,kuminskiy,100,RU,1580593435,93,58.67,66.57,13.59,7.43
358,nago,1,JP,1580593437,87,26.59,127.98,59.0,3.36
359,hoquiam,90,US,1580593438,87,46.98,-123.89,46.99,14.99
360,lahaina,40,US,1580593322,54,20.88,-156.68,82.4,16.11
361,alofi,61,NU,1580593446,78,-19.06,-169.92,82.4,10.29
362,bubaque,33,GW,1580593447,75,11.28,-15.83,78.82,16.73
363,manjacaze,0,MZ,1580593450,90,-24.71,33.88,69.93,5.46
364,traiguen,100,CL,1580593452,67,-38.25,-72.68,67.6,16.24
365,totness,45,SR,1580593454,74,5.88,-56.32,79.34,18.92
366,zhangye,0,CN,1580593455,50,38.93,100.45,20.25,0.92
367,rundu,100,NA,1580593456,65,-17.93,19.77,71.89,2.24
368,omagh,85,GB,1580593457,95,54.6,-7.3,37.2,2.37
369,lishui,81,CN,1580593459,79,28.46,119.91,37.8,2.73
370,namatanai,63,PG,1580593460,71,-3.67,152.43,82.9,8.16
371,revelstoke,90,CA,1580593461,86,50.98,-118.2,39.2,13.87
372,bodaybo,98,RU,1580593463,100,57.85,114.19,-28.46,0.56
373,wilmington,90,US,1580593235,93,34.23,-77.94,48.2,4.7
374,oktyabrskoye,0,RU,1580593466,70,43.06,44.74,27.1,2.55
375,lorengau,91,PG,1580593467,80,-2.02,147.27,83.26,14.38
376,kodino,64,RU,1580593468,96,63.72,39.64,-7.42,6.24
377,grindavik,40,IS,1580593470,86,63.84,-22.43,28.4,6.93
378,gat,75,IL,1580593472,100,31.61,34.76,57.99,3.36
379,calvinia,100,ZA,1580593473,48,-31.47,19.78,76.05,11.77
380,nioro,0,GM,1580593474,11,13.35,-15.75,83.62,5.19
381,quelimane,20,MZ,1580593476,88,-17.88,36.89,80.6,3.36
382,frontera,1,MX,1580593477,11,26.93,-101.45,67.55,6.04
383,bulancak,75,TR,1580593480,66,40.94,38.23,48.2,5.82
384,pedasi,27,PA,1580593481,69,7.53,-80.03,84.27,9.17
385,cardston,75,CA,1580593483,82,49.2,-113.3,52.0,32.21
386,rovira,40,CO,1580593484,51,4.24,-75.24,86.0,6.93
387,nikolsk,100,RU,1580593485,96,53.72,46.07,27.59,7.2
388,yarmouth,90,US,1580593488,86,41.71,-70.23,39.99,10.65
389,preobrazheniye,0,RU,1580593492,66,42.9,133.91,13.96,7.43
390,bima,100,ID,1580593493,95,-8.47,118.72,72.34,0.81
391,chapais,90,CA,1580593494,92,49.78,-74.85,21.2,9.17
392,sikasso,24,ML,1580593495,12,10.92,-7.0,77.5,3.13
393,lanzhou,99,CN,1580593497,61,36.06,103.79,19.99,4.47
394,tautira,75,PF,1580593500,94,-17.73,-149.15,77.0,25.28
395,tamiahua,100,MX,1580593501,70,21.27,-97.45,65.52,14.94
396,bojnurd,90,IR,1580593503,97,37.47,57.33,37.4,7.23
397,ocos,40,GT,1580593504,59,14.51,-92.19,89.6,9.17
398,maldonado,20,UY,1580593505,54,-34.67,-54.92,78.8,11.41
399,kirensk,97,RU,1580593506,98,57.79,108.11,-16.33,1.5
400,lukulu,38,ZM,1580593507,94,-14.37,23.24,66.07,4.94
401,bumba,60,CD,1580593510,56,2.18,22.47,76.6,2.06
402,genhe,63,CN,1580593511,99,50.78,121.52,-15.83,3.87
403,clinton,90,US,1580593513,96,42.59,-82.92,34.0,5.82
404,hornepayne,99,CA,1580593514,89,49.21,-84.77,29.05,9.48
405,huangmei,100,CN,1580593515,59,30.19,116.03,49.77,6.35
406,cacaotepec,90,MX,1580593516,31,17.13,-96.8,75.2,5.82
407,saint-junien,90,FR,1580593518,100,45.88,0.9,54.0,10.29
408,gemena,22,CD,1580593519,35,3.25,19.77,72.52,2.73
409,olinda,40,BR,1580593520,79,-8.01,-34.86,84.2,5.82
410,karratha,3,AU,1580593522,77,-20.74,116.85,79.79,15.5
411,maniitsoq,100,GL,1580593523,73,65.42,-52.9,11.35,3.11
412,quincy,90,US,1580593492,86,42.25,-71.0,39.99,2.44
413,champasak,0,LA,1580593525,75,14.75,106.0,61.86,1.86
414,hammerfest,100,NO,1580593526,67,70.66,23.68,19.4,32.21
415,kedougou,9,SN,1580593527,27,12.56,-12.17,87.8,4.7
416,korla,0,CN,1580593530,76,41.76,86.15,12.69,6.31
417,emerald,0,AU,1580593532,88,-23.53,148.17,77.0,6.93
418,muros,90,ES,1580593533,100,42.78,-9.06,61.0,13.87
419,petropavlovsk-kamchatskiy,0,RU,1580593536,45,53.05,158.65,3.2,4.47
420,lebedinyy,100,RU,1580593537,99,58.52,125.52,-18.51,5.82
421,mayumba,100,GA,1580593538,71,-3.43,10.66,83.39,4.68
422,iskateley,99,RU,1580593539,97,67.68,53.15,-2.0,4.9
423,ilulissat,100,GL,1580593540,65,69.22,-51.1,6.8,8.05
424,geraldton,16,AU,1580593542,52,-28.77,114.6,66.2,14.99
425,pringsewu,100,ID,1580593543,97,-5.36,104.97,71.51,3.78
426,udayagiri,4,IN,1580593544,91,20.13,84.38,64.51,2.17
427,keetmanshoop,73,NA,1580593545,25,-26.58,18.13,87.8,1.12
428,padang,100,ID,1580593316,93,-0.95,100.35,68.65,6.49
429,mackay,75,AU,1580593549,88,-21.15,149.2,77.0,5.82
430,kem,99,RU,1580593550,96,64.96,34.58,-1.32,10.42
431,matadi,97,CD,1580593552,91,-5.82,13.45,76.24,2.66
432,mirnyy,0,RU,1580593553,65,62.54,113.96,-34.6,2.24
433,magadan,0,RU,1580593365,71,59.57,150.8,-3.3,11.56
434,ambilobe,95,MG,1580593556,85,-13.2,49.05,75.85,2.48
435,buraydah,0,SA,1580593558,45,26.33,43.98,44.6,4.94
436,colesberg,36,ZA,1580593559,38,-30.72,25.1,80.1,4.0
437,gurun,40,MY,1580593561,83,5.82,100.47,80.6,7.52
438,raudeberg,73,NO,1580593563,93,61.99,5.14,37.99,3.36
439,kurilsk,92,RU,1580593564,86,45.23,147.88,22.68,10.63
440,yuanping,91,CN,1580593565,93,38.72,112.76,22.84,2.3
441,ende,100,ID,1580593567,74,-8.84,121.66,82.98,6.46
442,inirida,98,CO,1580593570,62,3.87,-67.92,89.06,2.44
443,resistencia,0,AR,1580593335,45,-27.46,-58.98,89.01,8.05
444,mezhova,47,UA,1580593572,94,48.25,36.73,33.22,5.91
445,siparia,20,TT,1580593574,74,10.13,-61.5,82.4,12.75
446,srandakan,100,ID,1580593576,94,-7.94,110.25,73.99,4.59
447,mandalgovi,0,MN,1580593577,78,45.76,106.27,-8.43,8.88
448,trelleborg,75,SE,1580593580,87,55.38,13.16,46.4,19.46
449,aloleng,86,PH,1580593582,81,16.13,119.78,66.33,6.29
450,maragogi,100,BR,1580593583,80,-9.01,-35.22,81.88,12.75
451,timra,100,SE,1580593584,94,62.49,17.33,33.01,1.12
452,yuxia,100,CN,1580593585,69,34.06,108.63,45.0,6.71
453,buy,100,RU,1580593586,95,58.48,41.53,25.75,7.67
454,harrisburg,90,US,1580593587,75,40.27,-76.88,42.01,4.7
455,batagay,71,RU,1580593590,95,67.63,134.63,-24.03,1.74
456,teguldet,95,RU,1580593591,98,57.31,88.17,-3.28,3.96
457,salinopolis,68,BR,1580593592,78,-0.61,-47.36,81.27,15.77
458,strizhi,99,RU,1580593593,96,58.46,49.29,15.64,4.76
459,bilhaur,0,IN,1580593596,68,26.85,80.08,50.4,5.39
